type,filename,dokid,datokode,tittel,korttittel,departement,etat,rettsomraade,i_kraft,siste_endring_i_kraft,sist_endret_ved,publisert_i,gjelder_for,siste_rettelse,refid,url
lov,nl-20210416-018.xml,NL/lov/2021-04-16-18,LOV-2021-04-16-18,Lov om gjennomføring av internasjonale sanksjoner (sanksjonsloven),Sanksjonsloven,Utenriksdepartementet,,"Bank, finans og regnskapsrett > Banker Internasjonal rett > Internasjonale sanksjoner Stats-, statsforfatnings- og statsborgerrett > Forsvaret Internasjonal rett > Internasjonale organisasjoner Næringsrett > Inn- og utførsel Forvaltnings- og kommunalrett > Statistikk. Registrering Strafferett",2021-04-16,2024-12-20,lov/2024-12-20-80,,,2022-02-24 (tegnsetting i lister tilpasset universell utforming),lov/2021-04-16-18,https://lovdata.no/lov/2021-04-16-18
lov,nl-20210423-022.xml,NL/lov/2021-04-23-22,LOV-2021-04-23-22,Lov om endringer i finansforetaksloven mv. (verdipapirisering og kreditorhierarki),Endringslov til finansforetaksloven mv.,Finansdepartementet,,"Bank, finans og regnskapsrett > Banker Bank, finans og regnskapsrett > Betalingsformidling Bank, finans og regnskapsrett > Børs- og verdipapir Bank, finans og regnskapsrett > Forsikring Selskaper, fond og foreninger > Fond EU/EØS-rett > Finansielle tjenester","2021-07-01, 2025-08-01, Kongen bestemmer",2025-08-01,lov/2025-04-10-11 fra 2025-08-01,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2021-04-23-22,https://lovdata.no/lov/2021-04-23-22
lov,nl-20210521-042.xml,NL/lov/2021-05-21-42,LOV-2021-05-21-42,Lov om språk (språklova),Språklova,Kultur- og likestillingsdepartementet,,"Forvaltnings- og kommunalrett Internasjonal rett > Konvensjoner. Overenskomster Skoler, universiteter og forskning Arbeidsrett > Likestilling og diskriminering",2022-01-01,2025-07-01,lov/2025-06-20-97 fra 2025-07-01,,,2022-02-24 (tegnsetting i lister tilpasset universell utforming),lov/2021-05-21-42,https://lovdata.no/lov/2021-05-21-42
lov,nl-20210528-049.xml,NL/lov/2021-05-28-49,LOV-2021-05-28-49,Lov om kollektiv forvaltning av opphavsrett mv.,Lov om kollektiv forvaltning av opphavsrett mv.,Kultur- og likestillingsdepartementet,,Immaterialrett > Mønster. Design Immaterialrett > Varemerke. Firma Immaterialrett > Patent Immaterialrett > Opphavsrett,"2021-07-01, 2021-09-01",,,,,2022-11-10 (EØS-henvisninger),lov/2021-05-28-49,https://lovdata.no/lov/2021-05-28-49
lov,nl-20210611-079.xml,NL/lov/2021-06-11-79,LOV-2021-06-11-79,Lov om offentlige organers ansvar for bruk av tolk mv. (tolkeloven),Tolkeloven,Arbeids- og inkluderingsdepartementet,,Utlendingsrett > Alminnelige bestemmelser Forvaltnings- og kommunalrett > Offentlig forvaltning IKT- og medierett > Personopplysninger,2022-01-01,2022-06-15,lov/2022-06-10-39 fra 2022-06-15,,,2022-01-01 (ansvarlig departement),lov/2021-06-11-79,https://lovdata.no/lov/2021-06-11-79
lov,nl-20210611-084.xml,NL/lov/2021-06-11-84,LOV-2021-06-11-84,Lov om endringer i aksjelovgivningen mv. (åpenhet om eierskap og deltakelse på generalforsamlingen),Endringslov til aksjelovgivningen mv.,Nærings- og fiskeridepartementet,,"Bank, finans og regnskapsrett > Børs- og verdipapir Selskaper, fond og foreninger > Aksjeselskaper og allmennaksjeselskaper EU/EØS-rett > Finansielle tjenester Bank, finans og regnskapsrett > Obligasjoner","2022-01-01, 2023-07-01, 2025-02-01, Kongen bestemmer",,,,,2022-03-09 (nummerering i lister tilpasset universell utforming),lov/2021-06-11-84,https://lovdata.no/lov/2021-06-11-84
lov,nl-20210618-115.xml,NL/lov/2021-06-18-115,LOV-2021-06-18-115,Lov om Stortingets ombudsnemnd for Forsvaret (forsvarsombudsloven),Forsvarsombudsloven,Forsvarsdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Forsvaret",2021-10-01,2026-01-01,lov/2025-06-20-96 fra 2026-01-01,,,2021-10-01 (UU-tilpasset),lov/2021-06-18-115,https://lovdata.no/lov/2021-06-18-115
lov,nl-20210618-119.xml,NL/lov/2021-06-18-119,LOV-2021-06-18-119,Lov om informasjonstilgang m.m. for utvalg som skal undersøke saker om overgrep begått av helsepersonell mot pasienter i perioden 2010 til 2020,Lov om informasjonstilgang (overgrep begått av helsepersonell),Helse- og omsorgsdepartementet,,IKT- og medierett > Personopplysninger Helse- og omsorgsrett > Helsepersonell,"2021-06-18, 2022-04-16",2022-04-16,lov/2021-06-18-119 fra 2022-04-16,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2021-06-18-119,https://lovdata.no/lov/2021-06-18-119
lov,nl-20210618-121.xml,NL/lov/2021-06-18-121,LOV-2021-06-18-121,Lov om Stortingets ombud for kontroll med forvaltningen (sivilombudsloven),Sivilombudsloven,Justis- og beredskapsdepartementet,,"Internasjonal rett > Konvensjoner. Overenskomster Stats-, statsforfatnings- og statsborgerrett > Stortinget Forvaltnings- og kommunalrett > Offentlig forvaltning Kultur, idrett og underholdning > Arkiv IKT- og medierett > Personopplysninger",2021-07-01,2026-01-01,lov/2025-06-20-96 fra 2026-01-01,,,2022-03-09 (nummerering i lister tilpasset universell utforming),lov/2021-06-18-121,https://lovdata.no/lov/2021-06-18-121
lov,nl-20210618-136.xml,NL/lov/2021-06-18-136,LOV-2021-06-18-136,Lov om røystingsrådgjevarar,Lov om røystingsrådgjevarar,Nærings- og fiskeridepartementet,,"Bank, finans og regnskapsrett > Børs- og verdipapir EU/EØS-rett > Finansielle tjenester",2021-07-01,2025-04-01,lov/2024-06-21-41 fra 2025-04-01,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2021-06-18-136,https://lovdata.no/lov/2021-06-18-136
